"Track Name,Genre,Duration (seconds),BPM,Key,Energy Level,Danceability,Popularity"
"Fast Car,""Folk Rock"",297,104,""E minor"",""Low"",""High"",80"
"Have a Good Time,""Soft Rock"",206,103,""B-flat major"",""Medium"",""Medium"",65"
"Never Going Back Again - 2004 Remaster,""Folk Rock"",122,82,""F major"",""Medium"",""Medium"",70"
"March,""Indie Pop"",180,120,""C major"",""Medium"",""Medium"",60"
"River,""Pop"",240,72,""E major"",""Low"",""Low"",75"
"I Hate It Here,""Pop"",210,100,""G major"",""Medium"",""Medium"",85"
"Thank You For The Music - From 'Mamma Mia!' Original Motion Picture Soundtrack,""Musical"",240,100,""D major"",""High"",""High"",80"
"I Look in People's Windows,""Pop"",200,95,""A major"",""Medium"",""Medium"",70"
"Cesse cesse,""Pop"",180,110,""B minor"",""Medium"",""Medium"",65"
"Crayola Doesn't Make a Color for Your Eyes,""Folk"",150,105,""G major"",""Medium"",""Medium"",60"
"In My Life,""Musical"",180,90,""C major"",""Low"",""Low"",75"
"The Bitch Of Living - Original Broadway Cast Recording/2006,""Musical"",180,120,""D major"",""High"",""High"",70"
"Lost Track,""Indie Pop"",210,115,""E major"",""Medium"",""Medium"",65"
"Dust in the Wind,""Folk Rock"",216,94,""C minor"",""Low"",""Low"",85"
"Run With the Herd - From 'The Good Dinosaur' Score,""Soundtrack"",180,60,""A minor"",""Low"",""Low"",50"
"Lonely Millionaire,""Country"",200,100,""G major"",""Medium"",""Medium"",70"
"Deeper Well,""Country"",240,95,""E minor"",""Medium"",""Medium"",65"
"Hornpipe (From 'Down To The Sea In Ships'),""Classical"",300,120,""D major"",""Medium"",""Medium"",60"
"Chloe or Sam or Sophia or Marcus,""Pop"",210,100,""F major"",""Medium"",""Medium"",75"
"What Baking Can Do,""Musical"",240,110,""B-flat major"",""Medium"",""Medium"",70"